,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 10,1st Max Value PM 10,1st Max Hour PM 10,Arithmetic Mean PM 10
147,1,73,33.499722,-86.924167,2022-05-28,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
148,1,73,33.499722,-86.924167,2022-05-29,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
149,1,73,33.499722,-86.924167,2022-05-30,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
150,1,73,33.499722,-86.924167,2022-05-31,Alabama,Jefferson,Birmingham,25.0,27.0,23,27.0
151,1,73,33.499722,-86.924167,2022-06-01,Alabama,Jefferson,Birmingham,24.0,26.0,23,26.0
152,1,73,33.499722,-86.924167,2022-06-02,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
153,1,73,33.499722,-86.924167,2022-06-03,Alabama,Jefferson,Birmingham,14.0,15.0,23,15.0
154,1,73,33.499722,-86.924167,2022-06-04,Alabama,Jefferson,Birmingham,19.0,21.0,23,21.0
155,1,73,33.499722,-86.924167,2022-06-05,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
156,1,73,33.499722,-86.924167,2022-06-06,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
157,1,73,33.499722,-86.924167,2022-06-07,Alabama,Jefferson,Birmingham,19.0,20.0,23,20.0
158,1,73,33.499722,-86.924167,2022-06-08,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
159,1,73,33.499722,-86.924167,2022-06-09,Alabama,Jefferson,Birmingham,15.0,16.0,23,16.0
160,1,73,33.499722,-86.924167,2022-06-10,Alabama,Jefferson,Birmingham,21.0,23.0,23,23.0
161,1,73,33.499722,-86.924167,2022-06-11,Alabama,Jefferson,Birmingham,24.0,26.0,23,26.0
162,1,73,33.499722,-86.924167,2022-06-12,Alabama,Jefferson,Birmingham,22.0,24.0,23,24.0
163,1,73,33.499722,-86.924167,2022-06-13,Alabama,Jefferson,Birmingham,31.0,34.0,23,34.0
164,1,73,33.499722,-86.924167,2022-06-14,Alabama,Jefferson,Birmingham,52.0,58.0,23,58.0
165,1,73,33.499722,-86.924167,2022-06-15,Alabama,Jefferson,Birmingham,35.0,38.0,23,38.0
166,1,73,33.499722,-86.924167,2022-06-16,Alabama,Jefferson,Birmingham,27.0,29.0,23,29.0
167,1,73,33.499722,-86.924167,2022-06-17,Alabama,Jefferson,Birmingham,20.0,22.0,23,22.0
168,1,73,33.499722,-86.924167,2022-06-18,Alabama,Jefferson,Birmingham,18.0,19.0,23,19.0
