,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI CO,1st Max Value CO,1st Max Hour CO,Arithmetic Mean CO
142,1,73,33.485556,-86.915,2022-05-23,Alabama,Jefferson,Fairfield,1.0,0.1,2,0.0625
143,1,73,33.485556,-86.915,2022-05-24,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.025
144,1,73,33.485556,-86.915,2022-05-25,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.008333
145,1,73,33.485556,-86.915,2022-05-26,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
146,1,73,33.485556,-86.915,2022-05-27,Alabama,Jefferson,Fairfield,1.0,0.1,4,0.054167
147,1,73,33.485556,-86.915,2022-05-28,Alabama,Jefferson,Fairfield,2.0,0.2,22,0.075
148,1,73,33.485556,-86.915,2022-05-29,Alabama,Jefferson,Fairfield,6.0,0.5,4,0.208333
149,1,73,33.485556,-86.915,2022-05-30,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.029167
150,1,73,33.485556,-86.915,2022-05-31,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.020833
151,1,73,33.485556,-86.915,2022-06-01,Alabama,Jefferson,Fairfield,3.0,0.3,22,0.116667
152,1,73,33.485556,-86.915,2022-06-02,Alabama,Jefferson,Fairfield,5.0,0.4,0,0.15
153,1,73,33.485556,-86.915,2022-06-03,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.0375
154,1,73,33.485556,-86.915,2022-06-04,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.104167
155,1,73,33.485556,-86.915,2022-06-05,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.070833
156,1,73,33.485556,-86.915,2022-06-06,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.041667
157,1,73,33.485556,-86.915,2022-06-07,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.0625
158,1,73,33.485556,-86.915,2022-06-08,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.042857
159,1,73,33.485556,-86.915,2022-06-09,Alabama,Jefferson,Fairfield,1.0,0.1,3,0.052381
160,1,73,33.485556,-86.915,2022-06-10,Alabama,Jefferson,Fairfield,2.0,0.2,21,0.1125
161,1,73,33.485556,-86.915,2022-06-11,Alabama,Jefferson,Fairfield,3.0,0.3,1,0.191667
162,1,73,33.485556,-86.915,2022-06-12,Alabama,Jefferson,Fairfield,5.0,0.4,4,0.158333
163,1,73,33.485556,-86.915,2022-06-13,Alabama,Jefferson,Fairfield,2.0,0.2,7,0.141667
164,1,73,33.485556,-86.915,2022-06-14,Alabama,Jefferson,Fairfield,5.0,0.4,5,0.195833
165,1,73,33.485556,-86.915,2022-06-15,Alabama,Jefferson,Fairfield,1.0,0.1,4,0.004167
166,1,73,33.485556,-86.915,2022-06-16,Alabama,Jefferson,Fairfield,2.0,0.2,23,0.104167
167,1,73,33.485556,-86.915,2022-06-17,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.1375
168,1,73,33.485556,-86.915,2022-06-18,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.133333
169,1,73,33.485556,-86.915,2022-06-19,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.045833
171,1,73,33.485556,-86.915,2022-06-21,Alabama,Jefferson,Fairfield,3.0,0.3,9,0.175
172,1,73,33.485556,-86.915,2022-06-22,Alabama,Jefferson,Fairfield,3.0,0.3,1,0.216667
173,1,73,33.485556,-86.915,2022-06-23,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.1375
174,1,73,33.485556,-86.915,2022-06-24,Alabama,Jefferson,Fairfield,2.0,0.2,23,0.075
175,1,73,33.485556,-86.915,2022-06-25,Alabama,Jefferson,Fairfield,3.0,0.3,1,0.129167
176,1,73,33.485556,-86.915,2022-06-26,Alabama,Jefferson,Fairfield,1.0,0.1,1,0.0375
177,1,73,33.485556,-86.915,2022-06-27,Alabama,Jefferson,Fairfield,1.0,0.1,7,0.041667
178,1,73,33.485556,-86.915,2022-06-28,Alabama,Jefferson,Fairfield,0.0,0.0,0,0.0
179,1,73,33.485556,-86.915,2022-06-29,Alabama,Jefferson,Fairfield,1.0,0.1,17,0.029167
180,1,73,33.485556,-86.915,2022-06-30,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.008333
181,1,73,33.485556,-86.915,2022-07-01,Alabama,Jefferson,Fairfield,1.0,0.1,6,0.033333
182,1,73,33.485556,-86.915,2022-07-02,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.025
184,1,73,33.485556,-86.915,2022-07-04,Alabama,Jefferson,Fairfield,0.0,0.0,0,-0.029167
185,1,73,33.485556,-86.915,2022-07-05,Alabama,Jefferson,Fairfield,1.0,0.1,21,0.0125
186,1,73,33.485556,-86.915,2022-07-06,Alabama,Jefferson,Fairfield,1.0,0.1,11,0.054167
187,1,73,33.485556,-86.915,2022-07-07,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
188,1,73,33.485556,-86.915,2022-07-08,Alabama,Jefferson,Fairfield,2.0,0.2,3,0.141667
189,1,73,33.485556,-86.915,2022-07-09,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
190,1,73,33.485556,-86.915,2022-07-10,Alabama,Jefferson,Fairfield,2.0,0.2,21,0.1125
191,1,73,33.485556,-86.915,2022-07-11,Alabama,Jefferson,Fairfield,3.0,0.3,2,0.175
192,1,73,33.485556,-86.915,2022-07-12,Alabama,Jefferson,Fairfield,3.0,0.3,3,0.166667
193,1,73,33.485556,-86.915,2022-07-13,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.158333
194,1,73,33.485556,-86.915,2022-07-14,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.2
195,1,73,33.485556,-86.915,2022-07-15,Alabama,Jefferson,Fairfield,3.0,0.3,6,0.2
197,1,73,33.485556,-86.915,2022-07-17,Alabama,Jefferson,Fairfield,3.0,0.3,2,0.170833
198,1,73,33.485556,-86.915,2022-07-18,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.195833
199,1,73,33.485556,-86.915,2022-07-19,Alabama,Jefferson,Fairfield,3.0,0.3,6,0.133333
200,1,73,33.485556,-86.915,2022-07-20,Alabama,Jefferson,Fairfield,1.0,0.1,9,0.0625
201,1,73,33.485556,-86.915,2022-07-21,Alabama,Jefferson,Fairfield,2.0,0.2,7,0.133333
202,1,73,33.485556,-86.915,2022-07-22,Alabama,Jefferson,Fairfield,3.0,0.3,10,0.183333
203,1,73,33.485556,-86.915,2022-07-23,Alabama,Jefferson,Fairfield,5.0,0.4,4,0.204167
204,1,73,33.485556,-86.915,2022-07-24,Alabama,Jefferson,Fairfield,2.0,0.2,8,0.116667
205,1,73,33.485556,-86.915,2022-07-25,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
206,1,73,33.485556,-86.915,2022-07-26,Alabama,Jefferson,Fairfield,2.0,0.2,8,0.104167
207,1,73,33.485556,-86.915,2022-07-27,Alabama,Jefferson,Fairfield,2.0,0.2,8,0.120833
208,1,73,33.485556,-86.915,2022-07-28,Alabama,Jefferson,Fairfield,2.0,0.2,5,0.1375
210,1,73,33.485556,-86.915,2022-07-30,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
211,1,73,33.485556,-86.915,2022-07-31,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.0625
212,1,73,33.485556,-86.915,2022-08-01,Alabama,Jefferson,Fairfield,2.0,0.2,3,0.104167
213,1,73,33.485556,-86.915,2022-08-02,Alabama,Jefferson,Fairfield,2.0,0.2,20,0.091667
214,1,73,33.485556,-86.915,2022-08-03,Alabama,Jefferson,Fairfield,2.0,0.2,7,0.133333
215,1,73,33.485556,-86.915,2022-08-04,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.079167
216,1,73,33.485556,-86.915,2022-08-05,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.095833
217,1,73,33.485556,-86.915,2022-08-06,Alabama,Jefferson,Fairfield,3.0,0.3,6,0.175
218,1,73,33.485556,-86.915,2022-08-07,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.133333
219,1,73,33.485556,-86.915,2022-08-08,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.141667
220,1,73,33.485556,-86.915,2022-08-09,Alabama,Jefferson,Fairfield,2.0,0.2,5,0.125
221,1,73,33.485556,-86.915,2022-08-10,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
223,1,73,33.485556,-86.915,2022-08-12,Alabama,Jefferson,Fairfield,2.0,0.2,5,0.141667
224,1,73,33.485556,-86.915,2022-08-13,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.15
225,1,73,33.485556,-86.915,2022-08-14,Alabama,Jefferson,Fairfield,3.0,0.3,0,0.1875
226,1,73,33.485556,-86.915,2022-08-15,Alabama,Jefferson,Fairfield,5.0,0.4,6,0.241667
227,1,73,33.485556,-86.915,2022-08-16,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.145833
228,1,73,33.485556,-86.915,2022-08-17,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.133333
229,1,73,33.485556,-86.915,2022-08-18,Alabama,Jefferson,Fairfield,2.0,0.2,7,0.15
230,1,73,33.485556,-86.915,2022-08-19,Alabama,Jefferson,Fairfield,2.0,0.2,0,0.154167
231,1,73,33.485556,-86.915,2022-08-20,Alabama,Jefferson,Fairfield,1.0,0.1,0,0.1
