,State Code,County Code,Latitude,Longitude,Date Local,State Name,County Name,City Name,AQI PM 2.5,1st Max Value PM 2.5,1st Max Hour PM 2.5,Arithmetic Mean PM 2.5
197,1,3,30.497478,-87.880258,2023-04-05,Alabama,Baldwin,Fairhope,25.0,6.0,0,6.0
198,1,3,30.497478,-87.880258,2023-04-06,Alabama,Baldwin,Fairhope,17.0,4.0,0,4.0
199,1,3,30.497478,-87.880258,2023-04-07,Alabama,Baldwin,Fairhope,23.0,5.6,0,5.6
200,1,3,30.497478,-87.880258,2023-04-08,Alabama,Baldwin,Fairhope,18.0,4.3,0,4.3
201,1,3,30.497478,-87.880258,2023-04-09,Alabama,Baldwin,Fairhope,2.0,0.4,0,0.4
202,1,3,30.497478,-87.880258,2023-04-10,Alabama,Baldwin,Fairhope,15.0,3.7,0,3.7
203,1,3,30.497478,-87.880258,2023-04-11,Alabama,Baldwin,Fairhope,23.0,5.5,0,5.5
204,1,3,30.497478,-87.880258,2023-04-12,Alabama,Baldwin,Fairhope,21.0,5.1,0,5.1
205,1,3,30.497478,-87.880258,2023-04-13,Alabama,Baldwin,Fairhope,18.0,4.2,0,4.2
206,1,3,30.497478,-87.880258,2023-04-14,Alabama,Baldwin,Fairhope,22.0,5.2,0,5.2
207,1,3,30.497478,-87.880258,2023-04-15,Alabama,Baldwin,Fairhope,21.0,5.1,0,5.1
208,1,3,30.497478,-87.880258,2023-04-16,Alabama,Baldwin,Fairhope,13.0,3.1,0,3.1
210,1,3,30.497478,-87.880258,2023-04-18,Alabama,Baldwin,Fairhope,30.0,7.1,0,7.1
211,1,3,30.497478,-87.880258,2023-04-19,Alabama,Baldwin,Fairhope,53.0,13.1,0,13.1
212,1,3,30.497478,-87.880258,2023-04-20,Alabama,Baldwin,Fairhope,33.0,8.0,0,8.0
213,1,3,30.497478,-87.880258,2023-04-21,Alabama,Baldwin,Fairhope,35.0,8.4,0,8.4
214,1,3,30.497478,-87.880258,2023-04-22,Alabama,Baldwin,Fairhope,20.0,4.9,0,4.9
215,1,3,30.497478,-87.880258,2023-04-23,Alabama,Baldwin,Fairhope,25.0,5.9,0,5.9
216,1,3,30.497478,-87.880258,2023-04-24,Alabama,Baldwin,Fairhope,36.0,8.7,0,8.7
217,1,3,30.497478,-87.880258,2023-04-25,Alabama,Baldwin,Fairhope,52.0,12.8,0,12.8
218,1,3,30.497478,-87.880258,2023-04-26,Alabama,Baldwin,Fairhope,55.0,14.2,0,14.2
219,1,3,30.497478,-87.880258,2023-04-27,Alabama,Baldwin,Fairhope,26.0,6.3,0,6.3
220,1,3,30.497478,-87.880258,2023-04-28,Alabama,Baldwin,Fairhope,38.0,9.0,0,9.0
221,1,3,30.497478,-87.880258,2023-04-29,Alabama,Baldwin,Fairhope,34.0,8.2,0,8.2
223,1,3,30.497478,-87.880258,2023-05-01,Alabama,Baldwin,Fairhope,24.0,5.8,0,5.8
224,1,3,30.497478,-87.880258,2023-05-02,Alabama,Baldwin,Fairhope,22.0,5.3,0,5.3
225,1,3,30.497478,-87.880258,2023-05-03,Alabama,Baldwin,Fairhope,33.0,7.8,0,7.8
226,1,3,30.497478,-87.880258,2023-05-04,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
227,1,3,30.497478,-87.880258,2023-05-05,Alabama,Baldwin,Fairhope,28.0,6.8,0,6.8
228,1,3,30.497478,-87.880258,2023-05-06,Alabama,Baldwin,Fairhope,31.0,7.4,0,7.4
229,1,3,30.497478,-87.880258,2023-05-07,Alabama,Baldwin,Fairhope,25.0,6.0,0,6.0
230,1,3,30.497478,-87.880258,2023-05-08,Alabama,Baldwin,Fairhope,20.0,4.8,0,4.8
231,1,3,30.497478,-87.880258,2023-05-09,Alabama,Baldwin,Fairhope,23.0,5.5,0,5.5
232,1,3,30.497478,-87.880258,2023-05-10,Alabama,Baldwin,Fairhope,21.0,5.0,0,5.0
233,1,3,30.497478,-87.880258,2023-05-11,Alabama,Baldwin,Fairhope,27.0,6.4,0,6.4
234,1,3,30.497478,-87.880258,2023-05-12,Alabama,Baldwin,Fairhope,30.0,7.2,0,7.2
236,1,3,30.497478,-87.880258,2023-05-14,Alabama,Baldwin,Fairhope,38.0,9.0,0,9.0
237,1,3,30.497478,-87.880258,2023-05-15,Alabama,Baldwin,Fairhope,42.0,10.0,0,10.0
238,1,3,30.497478,-87.880258,2023-05-16,Alabama,Baldwin,Fairhope,32.0,7.7,0,7.7
239,1,3,30.497478,-87.880258,2023-05-17,Alabama,Baldwin,Fairhope,29.0,6.9,0,6.9
240,1,3,30.497478,-87.880258,2023-05-18,Alabama,Baldwin,Fairhope,35.0,8.5,0,8.5
241,1,3,30.497478,-87.880258,2023-05-19,Alabama,Baldwin,Fairhope,30.0,7.3,0,7.3
242,1,3,30.497478,-87.880258,2023-05-20,Alabama,Baldwin,Fairhope,28.0,6.7,0,6.7
243,1,3,30.497478,-87.880258,2023-05-21,Alabama,Baldwin,Fairhope,25.0,5.9,0,5.9
244,1,3,30.497478,-87.880258,2023-05-22,Alabama,Baldwin,Fairhope,54.0,13.5,0,13.5
245,1,3,30.497478,-87.880258,2023-05-23,Alabama,Baldwin,Fairhope,25.0,5.9,0,5.9
246,1,3,30.497478,-87.880258,2023-05-24,Alabama,Baldwin,Fairhope,42.0,10.0,0,10.0
247,1,3,30.497478,-87.880258,2023-05-25,Alabama,Baldwin,Fairhope,54.0,13.3,0,13.3
249,1,3,30.497478,-87.880258,2023-05-27,Alabama,Baldwin,Fairhope,43.0,10.2,0,10.2
250,1,3,30.497478,-87.880258,2023-05-31,Alabama,Baldwin,Fairhope,43.0,10.3,0,10.3
251,1,3,30.497478,-87.880258,2023-06-01,Alabama,Baldwin,Fairhope,37.0,8.8,0,8.8
252,1,3,30.497478,-87.880258,2023-06-02,Alabama,Baldwin,Fairhope,39.0,9.4,0,9.4
253,1,3,30.497478,-87.880258,2023-06-03,Alabama,Baldwin,Fairhope,43.0,10.3,0,10.3
254,1,3,30.497478,-87.880258,2023-06-04,Alabama,Baldwin,Fairhope,40.0,9.6,0,9.6
255,1,3,30.497478,-87.880258,2023-06-05,Alabama,Baldwin,Fairhope,29.0,6.9,0,6.9
256,1,3,30.497478,-87.880258,2023-06-06,Alabama,Baldwin,Fairhope,25.0,6.0,0,6.0
257,1,3,30.497478,-87.880258,2023-06-07,Alabama,Baldwin,Fairhope,23.0,5.5,0,5.5
